Section,Question,"Average Rating","BBBS of Alaska - Juneau rating","BBBS of Alaska - Juneau comments","BBBS of Alaska -- Fairbanks rating","BBBS of Alaska -- Fairbanks comments","BBBS of Alaska --Anchorage rating","BBBS of Alaska --Anchorage comments","Big Brother Sports Buddies Program rating","Big Brother Sports Buddies Program comments","Big Brothers Big Sisters Community Mentoring Program rating","Big Brothers Big Sisters Community Mentoring Program comments","Big Brothers Big Sisters of Santa Cruz County rating","Big Brothers Big Sisters of Santa Cruz County comments","Big Brothers Big Sisters of Siouxland rating","Big Brothers Big Sisters of Siouxland comments","Big Brothers Big Sisters of the Bay Area rating","Big Brothers Big Sisters of the Bay Area comments","Hyun 8/29 Maryland rating","Hyun 8/29 Maryland comments","Hyun Test 5/2 rating","Hyun Test 5/2 comments","Hyun Test Program rating","Hyun Test Program comments","Hyun Test Program 6/24 rating","Hyun Test Program 6/24 comments","Hyuns test Iowa Program  rating","Hyuns test Iowa Program  comments","Orases Test Program rating","Orases Test Program comments","Project Uplift rating","Project Uplift comments"
"A. Mentoring Program Design and Implementation","1. Does your program have a mission statement?",2.3333333333333,2,,1,,1,,3,,3,,4,,1,,1,,3,,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Vel quam elementum pulvinar etiam non quam. Sollicitudin nibh sit amet commodo nulla facilisi nullam vehicula ipsum. Sagittis orci a scelerisque purus semper eget duis. Velit laoreet id donec ultrices tincidunt arcu non. Quisque egestas diam in arcu cursus euismod. Pharetra massa massa ultricies mi quis hendrerit dolor magna eget. Eu scelerisque felis imperdiet proin fermentum leo vel orci porta. Duis ultricies lacus sed turpis tincidunt id aliquet risus. Sed elementum tempus egestas sed sed risus pretium. Imperdiet proin fermentum leo vel. Eu feugiat pretium nibh ipsum consequat nisl vel pretium lectus. Adipiscing at in tellus integer feugiat scelerisque. Quis enim lobortis scelerisque fermentum dui faucibus in ornare. Sagittis nisl rhoncus mattis rhoncus urna neque viverra justo nec. Faucibus in ornare quam viverra orci sagittis eu.

Vitae elementum curabitur vitae nunc sed velit. Tortor dignissim convallis aenean et tortor at. At ultrices mi tempus imperdiet nulla malesuada. Etiam non quam lacus suspendisse faucibus interdum posuere lorem. Volutpat ac tincidunt vitae semper quis. Sem nulla pharetra diam sit. Viverra tellus in hac habitasse platea dictumst vestibulum rhoncus. Facilisis mauris sit amet massa vitae tortor condimentum lacinia. Eros in cursus turpis massa tincidunt. Cursus sit amet dictum sit amet justo. Tempor id eu nisl nunc. Pharetra massa massa ultricies mi. Risus quis varius quam quisque id diam. Sem et tortor consequat id porta nibh venenatis cras. Aenean vel elit scelerisque mauris pellentesque.

Pharetra massa massa ultricies mi quis hendrerit dolor magna eget. Scelerisque purus semper eget duis at tellus. Commodo sed egestas egestas fringilla phasellus faucibus scelerisque eleifend. In metus vulputate eu scelerisque felis. Consectetur lorem donec massa sapien faucibus et molestie ac feugiat. Malesuada fames ac turpis egestas integer eget. In arcu cursus euismod quis viverra. Nulla posuere sollicitudin aliquam ultrices sagittis. Enim neque volutpat ac tincidunt vitae semper quis lectus nulla. Id nibh tortor id aliquet. Sed blandit libero volutpat sed cras ornare arcu dui. A erat nam at lectus urna duis convallis convallis.

Erat pellentesque adipiscing commodo elit at imperdiet dui accumsan. Consectetur lorem donec massa sapien faucibus et molestie ac feugiat. Risus pretium quam vulputate dignissim suspendisse in est ante in. Ullamcorper eget nulla facilisi etiam dignissim diam. Lacus suspendisse faucibus interdum posuere. Massa sapien faucibus et molestie ac feugiat sed lectus. Tincidunt nunc pulvinar sapien et ligula ullamcorper malesuada pro",1,,5,,5,,0,,2,
"A. Mentoring Program Design and Implementation","2. Does your program have a logic model that describes the key components, activities, and outcomes of the program in a graphic or illustration?",1.8,2,,N/A,,0,,3,,3,,2,,1,,1,,4,,N/A,,1,,2,,2,,2,,4,
"A. Mentoring Program Design and Implementation","3. Does your program have a Theory of Change (i.e., a comprehensive description/illustration that articulates how the young people being served reach their short- and long-term outcomes as a result of the program’s work)?",1.8666666666667,4,,N/A,,2,,N/A,,3,,2,,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,3,,2,,1,,N/A,,2,,N/A,,4,
"A. Mentoring Program Design and Implementation","5. Does your program review your program policies and procedures on a set schedule, at least one time per year?",2.1333333333333,N/A,,N/A,,5,,1,,5,,4,,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,2,,3,,1,,N/A,,3,,N/A,,5,
"A. Mentoring Program Design and Implementation","4. Does your program have a manual that documents your program’s written policies and procedures?",1.5333333333333,N/A,,N/A,,3,,N/A,,N/A,,4,,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,N/A,,3,,1,,N/A,,3,,N/A,,5,
"A. Mentoring Program Design and Implementation","6. Have your program’s policies and procedures been reviewed with respect to inclusiveness of potentially vulnerable populations, such as LGBTQ+ individuals, those with disabilities, youth and mentors of color, immigrants and refugees, and/or other often marginalized groups?",1.7333333333333,N/A,,N/A,,N/A,,4,,2,,2,,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,3,,4,,1,,3,,2,,N/A,,N/A,
"B. Mentee Recruitment","7. Does your program have a written mentee recruitment plan?",1.8666666666667,3,,N/A,,3,,3,,2,,N/A,,3,,1,,2,,3,,1,,N/A,,2,,N/A,,5,
"B. Mentee Recruitment","8. Does your program provide prospective mentees (and their parents/guardians, when applicable) with the eligibility requirements for participation so that youth and their families can determine their fit for the program?",1.9333333333333,2,,N/A,,3,,3,,2,,1,,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,3,,3,,1,,2,,2,,N/A,,4,
"B. Mentee Recruitment","9. Does your program’s youth recruitment materials use inclusive and welcoming language for mentees that realistically portray the expectations and responsibilities of participating in the program?",1.5333333333333,N/A,,N/A,,2,,3,,3,,1,,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,0,,5,,1,,1,,3,,N/A,,N/A,
"C. Mentor Recruitment","10. Does your program have a written mentor recruitment plan?",1.8,N/A,,N/A,,1,,4,,3,,2,,3,,1,,2,,3,,1,,N/A,,2,,N/A,,5,
