assessment_name,assessment_created_date,submitted_for_review_date,program_id,program_title,section_title,question_text,question_rating,question_notes,section_average_rating,goals_set,question_goal_name,question_goal_baseline_rating,question_goal_target_rating,question_goal_achieved_rating,question_goal_status
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,A. Mentoring Program Design and Implementation,1. Does your program have a mission statement?,5,"Our mission statement at 18 Degrees provides the foundation for all the work we do, including mentoring. Our mission - ""We champion access, opportunity, belonging, and well-being for all people on their journey, helping to build thriving communities"" which was recently updated as part of our current strategic plan, speaks to inclusivity and building community. Our approach with our folks, including our mentees, is to start with questions about their goals – their dreams. Our work is to guide them to the resources, skills, and support that will help them reach their goals.  This is central to our mission to help those we serve see that new beginnings are possible.",3.67,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,A. Mentoring Program Design and Implementation,"2. Does your program have a logic model that describes the key components, activities, and outcomes of the program in a graphic or illustration?",3,Our current logic model needs to be updated to reflect our expanded mentoring program and the changes we are making to deepen our impact throughout the agency. ,3.67,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,A. Mentoring Program Design and Implementation,"3. Does your program have a Theory of Change (i.e., a comprehensive description/illustration that articulates how the young people being served reach their short- and long-term outcomes as a result of the program’s work)?",4,"Our current theory does a good job of explaining the mentoring program's rationale, activities, the results of these activities, and the intended changes/improvements we hope our youth gain from participating in the program. ",3.67,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,A. Mentoring Program Design and Implementation,4. Does your program have a manual that documents your program’s written policies and procedures?,4,"We have a relatively comprehensive policies and procedures manual for 18 Degrees Mentoring. However, there are a couple of areas in particular with opportunities for improvement. Match support and supervision procedures should be further developed and more clearly defined, as well as our evaluation procedures. ",3.67,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,A. Mentoring Program Design and Implementation,"5. Does your program review your program policies and procedures on a set schedule, at least one time per year?",3,"With recent staffing changes to our mentoring program, I am unable to say definitively how often the policies and procedures were reviewed. I can say that going forward it will be reviewed a minimum of once per year. ",3.67,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,A. Mentoring Program Design and Implementation,"6. Have your program’s policies and procedures been reviewed with respect to inclusiveness of potentially vulnerable populations, such as LGBTQ+ individuals, those with disabilities, youth and mentors of color, immigrants and refugees, and/or other often marginalized groups?",3,"Our policies and procedures, as well as our volunteer guidelines, were written with inclusivity in mind, however, there is always much room for improvement in this area. Specifically, in the areas of mentor recruitment. ",3.67,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,B. Mentee Recruitment,7. Does your program have a written mentee recruitment plan?,2,"We do not have a written mentee recruitment plan. Traditionally, recruitment has happened through referrals to the program from schools, word of mouth (self- referral), and outreach in the community by staff.",3.33,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,B. Mentee Recruitment,"8. Does your program provide prospective mentees (and their parents/guardians, when applicable) with the eligibility requirements for participation so that youth and their families can determine their fit for the program?",4,"Intake for the mentoring program begins with an explanation of the eligibility requirements from the Pittsfield Community Connection Services Coordinator who first speaks with the mentee's caregiver followed by a conversation with the mentee.  From there the mentor coordinator meets with the both the mentee and caregiver to ensure the youth and family still feel they are a fit. Finally, the mentee and caregiver are introduced the to the mentor where the mentor coordinator will again review requirements and check in to ensure everyone still feels they are ready, comfortable, and committed to begin meeting with their mentor.  ",3.33,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,B. Mentee Recruitment,9. Does your program’s youth recruitment materials use inclusive and welcoming language for mentees that realistically portray the expectations and responsibilities of participating in the program?,4,Our youth recruitment materials are distributed through the Pittsfield Community Connection program which includes mentoring as a service. Our materials are reviewed at several levels of management especially around inclusive language and diversity. We are currently in the process of expanding our mentoring program beyond PCC to include our Family Resource Center with a focus on deepening the impact and inclusiveness of the program. ,3.33,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,C. Mentor Recruitment,10. Does your program have a written mentor recruitment plan?,3,"I8 Degrees mentoring has a written recruitment plan which includes using several different types of promotional materials such as flyers, a newsletter, social media, and the 18 Degrees website. Recruitment efforts are made in the community by both the mentor coordinator and the director of volunteer services. The plan includes several activities such as attending community events, flyer distribution, and presenting to local businesses and community organizations. The rating of 3 indicates the need for our recruitment of a more diverse volunteer base.",3.5,No,,,,,
